 Morbidade Hospitalar do SUS - por local de residência - Espírito Santo
Internações por Município e Ano atendimento
Lista Morb  CID-10: Diarréia e gastroenterite origem infecc presumível, Outras doenças infecciosas e parasitárias
Período:2008-2022
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"320503 VARGEM ALTA";-;6;4;6;11;9;11;12;13;17;11;22;7;5;4;9;147
"320506 VENDA NOVA DO IMIGRANTE";5;15;9;16;12;35;19;15;27;20;8;8;13;8;15;2;227
"320510 VIANA";-;45;33;5;5;17;9;13;14;17;12;21;9;14;19;13;246
"320515 VILA PAVAO";2;14;6;8;4;-;1;1;1;-;-;-;-;-;-;1;38
"320517 VILA VALERIO";1;27;36;4;2;6;2;4;7;4;6;2;2;4;-;-;107
"320520 VILA VELHA";10;127;143;67;57;107;75;102;112;143;103;118;103;73;96;102;1538
"320530 VITORIA";14;272;202;91;42;32;30;95;90;101;75;132;135;68;63;53;1495
"Total";317;4965;4607;4334;4018;4079;3276;3681;3235;3638;2915;3195;2861;1458;1387;1349;49315
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
