 Morbidade Hospitalar do SUS - por local de residência - Espírito Santo
Internações por Município e Ano atendimento
Lista Morb  CID-10: Leptospirose icterohemorrágica, Outras formas de leptospirose, Leptospirose não especificada, Esquistossomose, Outras helmintíases
Período:2008-2022
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"320510 VIANA";-;1;2;-;3;2;1;-;1;-;-;2;-;-;1;-;13
"320515 VILA PAVAO";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320520 VILA VELHA";-;6;3;4;1;2;2;7;4;4;5;2;8;-;4;4;56
"320530 VITORIA";-;2;-;-;3;4;1;2;2;6;3;1;2;3;2;2;33
"Total";5;49;77;55;63;58;43;66;54;63;48;60;63;77;25;51;857
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
